,#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed
0,0,1000,15.96,0.0,15.96
1,1,1000,15.98,0.06,15.960347948923609
2,2,1000,16.01,0.12,15.960695897847218
3,4,1000,15.99,0.25,15.961391795694436
4,8,1000,15.99,0.5,15.96278359138887
5,16,1000,16.03,1.0,15.965567182777738
6,32,1000,16.13,1.98,15.971134365555475
7,64,1000,16.27,3.93,15.982268731110949
8,128,1000,16.59,7.72,16.004537462221897
9,256,1000,16.72,15.31,16.049074924443794
10,512,1000,17.03,30.07,16.138149848887586
11,1024,1000,17.54,58.38,16.31629969777517
12,2048,1000,38.96,52.57,16.672599395550346
13,4096,1000,39.29,104.26,17.385198791100688
14,8192,1000,40.27,203.45,18.810397582201375
15,16384,1000,42.26,387.74,21.66079516440275
16,32768,1000,50.27,651.83,27.3615903288055
17,65536,640,147.04,445.7,38.763180657611
18,131072,320,140.54,932.66,61.566361315222004
19,262144,160,192.6,1361.1,107.17272263044401
20,524288,80,275.55,1902.7,198.38544526088802
21,1048576,40,459.62,2281.38,380.810890521776
22,2097152,20,821.47,2552.94,745.6617810435521
23,4194304,10,1530.41,2740.65,1475.3635620871041
24,8388608,5,2991.42,2804.22,2934.767124174208
25,16777216,2,5853.32,2866.27,5853.574248348416
26,33554432,1,11570.06,2900.11,11691.188496696832
27,67108864,1,23361.45,2872.63,23366.416993393665
28,134217728,1,46721.89,2872.7,46716.87398678733
29,268435456,1,93471.99,2871.83,93417.78797357467
